"y","X1","X2","X3","X4","X5","X6","X11","X13","X17","X18","X19","X20","X22","X23","X24","X25","X28","X29","X30","X31","X32","X33"
0.001,0.01,0.01,0.01,13,0.01,0.01,0.01,24,0.01,25,10,0.01,0.01,0.01,0.01,0.01,0.01,24,0.01,0.01,0.01,24
0.001,0.01,0.01,0.01,0.01,0.01,8,0.01,0.01,0.01,13,9,24,0.01,0.01,0.01,0.01,0.01,16,29,12,0.01,48
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,16,17,17,0.01,0.01,9,30,0.01,11,10,0.01,11,0.01,36
0.001,0.01,12,0.01,0.01,12,0.01,0.01,16,0.01,0.01,0.01,0.01,0.01,0.01,28,10,0.01,0.01,0.01,0.01,0.01,46
0.001,0.01,0.01,0.01,0.01,0.01,0.01,7,0.01,18,0.01,0.01,0.01,0.01,7,0.01,12,0.01,30,0.01,14,15,45
0.001,0.01,21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,17,0.01,0.01,21,0.01,0.01,0.01,0.01,12,0.01,0.01,0.01,19
1.66,13,20,0.01,0.01,0.01,0.01,0.01,0.01,0.01,19,0.01,0.01,0.01,0.01,0.01,11,0.01,11,0.01,8,0.01,58
5,0.01,0.01,10,27,0.01,12,0.01,20,0.01,16,11,0.01,0.01,0.01,29,0.01,28,36,0.01,0.01,0.01,35
11.28,17,12,0.01,9,0.01,0.01,21,7,0.01,0.01,0.01,0.01,0.01,15,14,0.01,0.01,23,0.01,0.01,0.01,31
20,0.01,0.01,0.01,0.01,21,0.01,7,22,0.01,20,0.01,0.01,0.01,0.01,12,0.01,12,32,16,0.01,0.01,22
29.35,0.01,0.01,9,0.01,0.01,0.01,16,9,0.01,0.01,8,0.01,0.01,0.01,0.01,0.01,0.01,27,0.01,0.01,0.01,28
34,8,0.01,10,0.01,12,0.01,19,0.01,0.01,9,7,0.01,7,0.01,7,0.01,0.01,27,0.01,6,0.01,26
29.39,0.01,0.01,35,0.01,27,8,10,9,13,12,0.01,0.01,0.01,0.01,7,0.01,0.01,24,0.01,9,0.01,19
17.51,0.01,0.01,0.01,0.01,8,0.01,0.01,7,0.01,10,0.01,0.01,0.01,7,14,0.01,26,15,0.01,21,0.01,33
2,0.01,0.01,0.01,7,63,0.01,0.01,11,0.01,7,0.01,0.01,0.01,0.01,0.01,0.01,0.01,15,11,0.01,0.01,39
0.001,0.01,9,0.01,6,11,0.01,0.01,0.01,8,0.01,0.01,0.01,0.01,0.01,0.01,13,0.01,20,0.01,9,0.01,25
0.001,0.01,0.01,0.01,0.01,19,9,0.01,0.01,25,24,23,0.01,0.01,0.01,0.01,16,0.01,32,0.01,0.01,0.01,17
0.001,13,0.01,12,0.01,19,15,0.01,10,6,15,0.01,0.01,10,0.01,0.01,0.01,0.01,17,7,7,0.01,28
0.001,0.01,0.01,0.01,0.01,8,0.01,23,0.01,8,0.01,0.01,0.01,0.01,0.01,19,0.01,0.01,11,0.01,0.01,0.01,18
0.001,0.01,0.01,9,0.01,24,0.01,0.01,11,17,23,0.01,9,0.01,0.01,0.01,0.01,0.01,8,0.01,0.01,0.01,29
0.001,0.01,13,0.01,0.01,10,0.01,0.01,11,24,0.01,0.01,8,0.01,0.01,0.01,17,0.01,0.01,0.01,12,22,22
0.001,0.01,23,0.01,0.01,0.01,8,0.01,8,0.01,22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14,0.01,0.01,0.01,23
0.001,0.01,0.01,0.01,0.01,10,0.01,0.01,16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,9,0.01,24,0.01,0.01,0.01,55
0.001,0.01,0.01,0.01,14,10,0.01,0.01,30,8,8,0.01,0.01,0.01,13,8,0.01,0.01,24,0.01,0.01,0.01,17
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,16,0.01,12,0.01,17,0.01,0.01,0.01,23,0.01,0.01,0.01,7,0.01,41
0.001,0.01,0.01,0.01,0.01,14,0.01,0.01,30,0.01,31,10,0.01,0.01,0.01,9,0.01,0.01,35,0.01,0.01,0.01,35
0.001,12,7,28,8,10,0.01,7,10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,27,0.01,0.01,0.01,69
0.001,0.01,0.01,0.01,0.01,11,0.01,9,17,0.01,15,0.01,0.01,0.01,0.01,7,0.01,0.01,26,0.01,0.01,0.01,36
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,40,0.01,9,8,0.01,0.01,10,0.01,0.01,0.01,10,0.01,19,9,29
0.001,0.01,0.01,0.01,12,0.01,0.01,0.01,45,0.01,30,0.01,0.01,9,9,10,0.01,0.01,9,0.01,7,0.01,39
0.001,0.01,0.01,0.01,0.01,18,0.01,0.01,7,0.01,18,7,0.01,0.01,9,10,0.01,0.01,0.01,7,0.01,0.01,35
0.001,0.01,9,0.01,0.01,12,0.01,0.01,35,0.01,13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,20,0.01,0.01,0.01,22
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,17,0.01,20,7,0.01,0.01,32,0.01,0.01,0.01,20,0.01,12,9,36
0.001,0.01,0.01,7,0.01,0.01,0.01,0.01,10,0.01,15,0.01,0.01,9,0.01,0.01,0.01,0.01,25,0.01,7,0.01,39
0.001,0.01,0.01,0.01,13,0.01,0.01,0.01,17,0.01,48,8,0.01,8,16,0.01,11,0.01,34,11,7,0.01,44
0.001,0.01,6,11,0.01,14,0.01,0.01,0.01,12,36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,27,0.01,9,8,26
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,34,0.01,0.01,0.01,0.01,0.01,0.01,15,0.01,0.01,12,7,39
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,11,0.01,13,0.01,7,9,0.01,0.01,0.01,0.01,22,0.01,10,11,36
0.001,0.01,9,0.01,15,16,0.01,0.01,0.01,10,16,0.01,0.01,0.01,0.01,8,21,0.01,22,0.01,0.01,0.01,38
0.001,0.01,0.01,0.01,0.01,0.01,0.01,12,28,8,0.01,0.01,8,19,8,0.01,26,6,7,0.01,0.01,0.01,10
0.001,0.01,13,0.01,0.01,0.01,0.01,0.01,17,0.01,24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,16,0.01,25,19,37
0.001,0.01,0.01,7,0.01,0.01,0.01,0.01,9,0.01,14,23,0.01,0.01,0.01,0.01,0.01,0.01,31,0.01,0.01,0.01,27
0.001,0.01,0.01,0.01,0.01,13,0.01,20,7,0.01,20,0.01,0.01,0.01,0.01,16,36,0.01,20,0.01,14,11,34
0.001,0.01,0.01,0.01,8,22,0.01,22,0.01,8,7,0.01,0.01,0.01,0.01,13,0.01,0.01,26,31,0.01,0.01,0.01
0.001,0.01,0.01,0.01,0.01,36,0.01,0.01,33,0.01,22,0.01,7,0.01,0.01,0.01,0.01,0.01,21,0.01,12,0.01,21
0.001,0.01,0.01,0.01,0.01,20,6,0.01,17,0.01,15,0.01,0.01,0.01,9,20,0.01,0.01,33,0.01,0.01,0.01,35
0.001,12,10,0.01,21,34,0.01,8,14,0.01,20,6,0.01,0.01,0.01,9,0.01,0.01,20,0.01,7,0.01,36
0.001,0.01,0.01,8,12,0.01,0.01,0.01,8,0.01,8,25,15,0.01,0.01,14,0.01,0.01,37,0.01,13,0.01,45
0.001,0.01,0.01,0.01,0.01,11,0.01,0.01,21,0.01,16,19,0.01,0.01,0.01,16,0.01,16,12,0.01,0.01,0.01,47
0.001,0.01,0.01,0.01,13,14,0.01,0.01,7,0.01,11,12,0.01,0.01,0.01,0.01,17,0.01,9,0.01,0.01,0.01,22
0.001,0.01,12,0.01,0.01,41,15,0.01,10,0.01,14,39,0.01,0.01,0.01,18,0.01,0.01,16,10,0.01,7,32
0.001,8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,12,8,0.01,10,24,0.01,0.01,0.01,23
0.001,10,14,0.01,10,0.01,12,0.01,43,12,16,0.01,0.01,0.01,0.01,20,11,0.01,36,0.01,0.01,22,0.01
0.001,0.01,0.01,12,0.01,0.01,0.01,18,12,0.01,14,11,0.01,27,0.01,15,18,0.01,31,30,8,0.01,40
0.001,0.01,0.01,0.01,0.01,30,0.01,0.01,22,0.01,12,9,0.01,9,0.01,26,0.01,0.01,22,0.01,8,8,43
0.001,0.01,0.01,0.01,0.01,23,14,0.01,17,0.01,15,11,0.01,0.01,0.01,23,0.01,0.01,19,0.01,27,0.01,37
0.001,13,14,0.01,0.01,0.01,0.01,0.01,0.01,8,9,0.01,16,0.01,12,20,0.01,0.01,18,0.01,12,0.01,35
0.001,0.01,0.01,10,13,0.01,0.01,14,0.01,8,20,0.01,0.01,0.01,0.01,7,37,0.01,14,0.01,0.01,0.01,41
0.001,0.01,0.01,0.01,0.01,8,0.01,0.01,0.01,15,21,0.01,0.01,0.01,0.01,7,0.01,15,19,10,8,0.01,25
0.001,9,7,0.01,6,10,0.01,0.01,13,8,15,0.01,0.01,0.01,19,16,0.01,0.01,19,0.01,0.01,6,27
0.001,0.01,0.01,7,7,36,0.01,0.01,22,8,13,0.01,0.01,0.01,0.01,12,0.01,0.01,16,7,0.01,0.01,33
0.001,0.01,0.01,37,0.01,0.01,0.01,0.01,10,0.01,21,0.01,16,0.01,0.01,0.01,0.01,8,0.01,0.01,11,0.01,23
0.001,0.01,0.01,0.01,0.01,12,0.01,0.01,7,0.01,14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,19
0.001,0.01,0.01,0.01,0.01,9,0.01,20,9,6,20,0.01,0.01,0.01,0.01,21,0.01,0.01,20,0.01,10,0.01,36
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,16,0.01,11,9,0.01,0.01,0.01,0.01,0.01,0.01,11,0.01,6,0.01,55
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,9,13,13,0.01,0.01,16,0.01,0.01,0.01,0.01,13,10,0.01,0.01,22
0.001,0.01,14,0.01,0.01,0.01,0.01,16,10,0.01,11,8,0.01,0.01,20,0.01,7,0.01,24,0.01,10,0.01,31
0.001,7,0.01,0.01,0.01,12,0.01,6,0.01,0.01,16,0.01,0.01,0.01,6,12,0.01,0.01,22,0.01,0.01,0.01,36
0.001,0.01,0.01,0.01,0.01,11,0.01,0.01,0.01,0.01,15,0.01,0.01,0.01,0.01,8,0.01,0.01,12,25,18,0.01,32
0.001,8,0.01,7,19,24,0.01,0.01,10,0.01,33,0.01,0.01,0.01,0.01,47,0.01,0.01,11,0.01,19,0.01,25
0.001,0.01,0.01,0.01,14,30,0.01,0.01,16,0.01,18,0.01,0.01,10,0.01,23,0.01,0.01,17,0.01,0.01,0.01,10
0.001,0.01,0.01,0.01,0.01,45,0.01,0.01,42,0.01,8,0.01,0.01,7,0.01,22,0.01,0.01,14,0.01,0.01,0.01,35
0.001,14,0.01,8,0.01,14,11,0.01,0.01,8,11,0.01,6,0.01,0.01,17,0.01,0.01,39,0.01,0.01,8,50
0.001,0.01,0.01,0.01,0.01,12,19,12,0.01,24,15,13,22,9,0.01,0.01,0.01,0.01,14,0.01,12,0.01,35
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,25,37,0.01,10,0.01,10,0.01,0.01,0.01,12,0.01,9,0.01,14
0.001,16,0.01,0.01,6,7,14,0.01,0.01,0.01,23,0.01,0.01,12,11,6,0.01,0.01,13,0.01,9,0.01,37
0.001,0.01,0.01,0.01,12,13,0.01,0.01,13,7,6,0.01,0.01,0.01,11,0.01,0.01,11,25,0.01,0.01,0.01,40
0.001,0.01,9,10,7,8,0.01,0.01,11,0.01,19,6,0.01,0.01,0.01,8,0.01,0.01,20,0.01,0.01,0.01,29
0.001,10,0.01,0.01,0.01,0.01,0.01,0.01,19,0.01,6,10,0.01,6,0.01,0.01,0.01,0.01,8,0.01,9,0.01,53
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6,22,0.01,0.01,0.01,0.01,0.01,0.01,12,0.01,0.01,8,0.01,15
0.001,0.01,0.01,0.01,0.01,0.01,9,0.01,44,0.01,11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,19,0.01,18,7,44
0.001,0.01,0.01,0.01,0.01,0.01,9,0.01,13,0.01,17,0.01,0.01,10,0.01,0.01,0.01,0.01,42,0.01,7,0.01,35
0.001,0.01,6,0.01,0.01,0.01,0.01,0.01,21,0.01,0.01,0.01,0.01,0.01,8,0.01,0.01,0.01,0.01,6,13,0.01,34
0.001,0.01,7,0.01,14,23,0.01,0.01,0.01,0.01,13,0.01,0.01,6,0.01,9,0.01,0.01,24,18,12,0.01,34
0.001,8,0.01,0.01,0.01,7,0.01,21,26,0.01,25,0.01,26,0.01,11,12,0.01,8,40,0.01,0.01,0.01,62
0.001,0.01,0.01,0.01,11,25,0.01,0.01,18,10,11,0.01,31,0.01,0.01,0.01,7,7,17,0.01,0.01,0.01,80
0.001,0.01,0.01,0.01,6,9,0.01,0.01,0.01,20,51,0.01,0.01,0.01,0.01,0.01,9,7,19,0.01,6,0.01,69
0.001,0.01,0.01,11,0.01,19,0.01,0.01,9,0.01,10,12,0.01,17,0.01,0.01,0.01,0.01,0.01,0.01,10,0.01,57
0.001,13,0.01,0.01,0.01,22,0.01,0.01,0.01,7,13,0.01,0.01,0.01,9,19,0.01,0.01,28,0.01,10,0.01,41
0.001,0.01,0.01,0.01,0.01,9,0.01,0.01,0.01,8,11,0.01,0.01,0.01,13,0.01,0.01,0.01,44,0.01,10,0.01,36
0.001,9,0.01,0.01,0.01,10,0.01,0.01,12,0.01,28,0.01,0.01,9,0.01,7,0.01,10,16,0.01,14,0.01,51
0.001,0.01,0.01,0.01,0.01,17,0.01,0.01,8,8,32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,18,0.01,6,0.01,37
0.001,0.01,0.01,9,0.01,10,0.01,0.01,0.01,0.01,19,0.01,0.01,10,0.01,0.01,0.01,0.01,29,6,9,0.01,22
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,27,0.01,28,12,0.01,0.01,0.01,13,0.01,0.01,0.01,0.01,0.01,0.01,18
0.001,0.01,0.01,0.01,0.01,0.01,9,0.01,0.01,11,21,0.01,0.01,11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,15
0.001,0.01,0.01,0.01,13,12,15,0.01,9,0.01,11,0.01,14,0.01,0.01,16,0.01,0.01,19,11,7,0.01,50
0.001,0.01,0.01,0.01,0.01,32,0.01,0.01,0.01,0.01,9,0.01,0.01,0.01,0.01,30,6,0.01,22,0.01,8,0.01,56
0.001,8,0.01,12,12,20,0.01,0.01,0.01,0.01,0.01,0.01,15,0.01,0.01,0.01,8,15,34,0.01,11,6,37
0.001,0.01,0.01,0.01,0.01,21,0.01,10,39,0.01,0.01,0.01,0.01,10,0.01,10,0.01,0.01,0.01,0.01,7,0.01,42
0.001,0.01,18,20,0.01,0.01,0.01,9,0.01,0.01,21,0.01,0.01,0.01,8,0.01,0.01,0.01,33,0.01,7,0.01,44
0.001,0.01,6,0.01,0.01,22,0.01,0.01,12,0.01,0.01,0.01,0.01,0.01,8,10,0.01,0.01,44,0.01,13,0.01,22
0.001,0.01,0.01,0.01,0.01,0.01,0.01,13,0.01,0.01,10,0.01,10,0.01,0.01,0.01,20,0.01,0.01,0.01,10,9,58
0.001,0.01,0.01,0.01,0.01,20,0.01,0.01,9,0.01,21,0.01,0.01,0.01,0.01,14,0.01,9,12,0.01,5,0.01,0.01
0.001,0.01,0.01,0.01,0.01,9,0.01,0.01,0.01,0.01,9,0.01,0.01,0.01,0.01,14,0.01,8,11,0.01,14,0.01,38
0.001,0.01,0.01,0.01,0.01,15,0.01,0.01,0.01,0.01,17,0.01,0.01,0.01,0.01,8,0.01,0.01,25,0.01,0.01,6,37
0.001,0.01,24,0.01,0.01,0.01,0.01,0.01,11,0.01,23,21,0.01,15,0.01,9,0.01,0.01,0.01,0.01,20,12,42
0.001,0.01,0.01,0.01,0.01,29,0.01,0.01,33,0.01,22,0.01,0.01,0.01,0.01,7,0.01,0.01,17,0.01,13,0.01,51
0.001,10,0.01,0.01,0.01,10,0.01,0.01,30,0.01,8,0.01,0.01,0.01,9,0.01,7,0.01,24,0.01,0.01,0.01,43
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,12,14,16,0.01,0.01,0.01,0.01,30,19,0.01,37,0.01,0.01,0.01,41
0.001,7,0.01,0.01,16,15,0.01,0.01,0.01,9,13,0.01,0.01,0.01,8,12,0.01,8,40,18,0.01,15,30
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,18,0.01,0.01,0.01,0.01,12,7,0.01,27,0.01,8,0.01,30
0.001,0.01,0.01,0.01,0.01,27,0.01,0.01,8,0.01,27,0.01,0.01,0.01,0.01,14,0.01,9,36,15,8,0.01,35
0.001,0.01,0.01,0.01,0.01,14,0.01,0.01,0.01,6,10,10,0.01,0.01,0.01,39,0.01,0.01,23,0.01,18,35,40
0.001,10,0.01,0.01,0.01,12,0.01,0.01,7,0.01,9,0.01,0.01,7,0.01,10,0.01,0.01,37,0.01,0.01,12,53
0.001,0.01,0.01,0.01,0.01,15,0.01,10,0.01,6,11,0.01,13,9,0.01,13,0.01,7,24,0.01,7,0.01,52
1,0.01,10,0.01,0.01,21,15,0.01,0.01,0.01,23,0.01,0.01,0.01,0.01,30,8,0.01,28,7,5,0.01,37
13.97,0.01,0.01,0.01,0.01,31,0.01,0.01,0.01,7,7,0.01,0.01,0.01,0.01,49,0.01,12,26,7,15,0.01,31
25,0.01,21,15,15,31,0.01,15,17,0.01,22,0.01,0.01,0.01,0.01,22,0.01,0.01,35,15,9,0.01,29
24.2,0.01,7,0.01,7,18,0.01,0.01,18,0.01,14,0.01,0.01,0.01,0.01,19,13,0.01,31,0.01,6,0.01,34
21,6,15,0.01,8,18,0.01,0.01,15,15,9,12,0.01,0.01,9,8,0.01,0.01,25,0.01,24,0.01,35
25.38,0.01,0.01,10,0.01,0.01,0.01,5,6,0.01,11,0.01,0.01,0.01,16,11,0.01,0.01,31,0.01,0.01,18,37
30.2,7,0.01,8,0.01,14,0.01,0.01,8,9,9,0.01,0.01,0.01,0.01,15,0.01,15,25,8,8,0.01,29
24,0.01,0.01,0.01,0.01,15,0.01,0.01,11,0.01,21,0.01,0.01,0.01,0.01,9,0.01,9,32,0.01,8,0.01,27
1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7,8,19,0.01,0.01,0.01,0.01,18,12,0.01,17,0.01,9,9,36
0.001,11,0.01,0.01,0.01,0.01,0.01,0.01,11,0.01,27,0.01,0.01,11,0.01,0.01,0.01,0.01,31,0.01,7,0.01,46
0.001,0.01,12,0.01,0.01,13,0.01,0.01,6,0.01,12,8,0.01,0.01,0.01,12,0.01,0.01,6,5,7,0.01,35
0.001,6,0.01,0.01,0.01,0.01,10,0.01,14,0.01,19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,19,0.01,0.01,0.01,35
0.001,0.01,0.01,0.01,0.01,10,0.01,0.01,5,0.01,27,10,0.01,0.01,0.01,0.01,0.01,12,39,0.01,11,8,29
0.001,0.01,0.01,0.01,0.01,8,0.01,0.01,10,0.01,21,0.01,0.01,0.01,7,19,0.01,0.01,29,0.01,9,0.01,29
0.001,0.01,0.01,10,6,7,0.01,15,11,0.01,11,0.01,9,6,11,0.01,0.01,0.01,27,10,5,10,31
0.001,0.01,9,0.01,0.01,9,0.01,14,0.01,6,31,0.01,19,0.01,0.01,7,7,12,31,0.01,0.01,0.01,29
0.001,0.01,9,0.01,0.01,16,0.01,0.01,0.01,0.01,13,10,0.01,0.01,0.01,0.01,0.01,7,24,0.01,0.01,0.01,33
0.001,0.01,6,0.01,0.01,0.01,0.01,0.01,8,0.01,0.01,9,8,0.01,0.01,0.01,0.01,0.01,36,0.01,0.01,0.01,22
0.001,0.01,22,0.01,0.01,0.01,12,25,7,8,0.01,27,0.01,0.01,0.01,14,8,10,25,0.01,11,0.01,42
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,20,0.01,37,0.01,0.01,0.01,0.01,7,0.01,0.01,35,0.01,10,0.01,32
0.001,0.01,0.01,0.01,11,10,9,0.01,0.01,20,21,0.01,0.01,12,0.01,0.01,0.01,0.01,15,0.01,24,16,66
0.001,0.01,0.01,13,0.01,21,0.01,0.01,28,12,6,9,0.01,15,0.01,11,0.01,0.01,18,0.01,0.01,10,41
0.001,11,5,0.01,12,0.01,0.01,12,14,13,10,0.01,0.01,0.01,0.01,0.01,6,0.01,40,0.01,8,0.01,40
0.001,0.01,0.01,0.01,16,0.01,10,0.01,11,0.01,10,0.01,11,0.01,0.01,6,0.01,0.01,39,0.01,13,0.01,80
0.001,0.01,0.01,10,12,0.01,0.01,0.01,14,7,25,7,0.01,0.01,0.01,14,0.01,0.01,18,0.01,5,0.01,65
0.001,0.01,0.01,0.01,9,7,0.01,10,0.01,24,23,13,0.01,0.01,0.01,8,0.01,10,0.01,11,14,0.01,43
0.001,0.01,0.01,0.01,0.01,8,0.01,0.01,0.01,0.01,33,0.01,0.01,0.01,0.01,0.01,0.01,8,27,0.01,18,0.01,50
0.001,0.01,0.01,0.01,0.01,8,0.01,0.01,37,7,7,0.01,17,0.01,0.01,0.01,0.01,8,18,6,12,0.01,27
0.001,0.01,0.01,0.01,0.01,14,0.01,0.01,6,0.01,29,9,0.01,0.01,0.01,6,0.01,8,20,0.01,0.01,0.01,53
0.001,0.01,0.01,0.01,0.01,0.01,0.01,16,0.01,0.01,41,0.01,0.01,0.01,0.01,12,10,0.01,19,0.01,12,0.01,61
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,9,0.01,6,0.01,8,6,0.01,8,0.01,0.01,37,9,15,13,30
0.001,0.01,0.01,0.01,0.01,7,0.01,25,0.01,0.01,7,0.01,9,0.01,0.01,0.01,0.01,0.01,41,0.01,6,21,45
0.001,11,0.01,0.01,0.01,0.01,0.01,0.01,12,9,0.01,0.01,9,41,0.01,0.01,0.01,0.01,32,0.01,20,7,61
0.001,14,0.01,6,0.01,0.01,0.01,0.01,14,0.01,18,0.01,0.01,0.01,0.01,10,0.01,6,43,0.01,9,0.01,37
0.001,0.01,0.01,0.01,0.01,9,10,0.01,12,9,23,28,0.01,0.01,0.01,11,0.01,0.01,26,0.01,0.01,0.01,42
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7,0.01,0.01,30,0.01,10,0.01,63
0.001,0.01,0.01,0.01,0.01,13,8,0.01,12,14,6,0.01,0.01,13,0.01,0.01,0.01,0.01,31,7,6,10,34
0.001,10,0.01,0.01,12,16,0.01,0.01,0.01,15,12,0.01,0.01,0.01,0.01,20,12,7,30,0.01,0.01,0.01,65
0.001,7,0.01,0.01,8,0.01,0.01,0.01,0.01,0.01,11,7,10,0.01,0.01,33,0.01,0.01,0.01,0.01,10,7,37
0.001,0.01,0.01,0.01,8,23,0.01,0.01,15,0.01,26,10,0.01,0.01,0.01,35,0.01,0.01,23,0.01,0.01,0.01,37
0.001,23,0.01,0.01,0.01,20,0.01,0.01,0.01,0.01,20,0.01,0.01,0.01,0.01,19,0.01,0.01,27,10,22,7,43
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,13,0.01,16,0.01,0.01,0.01,0.01,34,0.01,0.01,0.01,0.01,7,7,39
0.001,0.01,0.01,0.01,0.01,16,17,0.01,0.01,0.01,25,0.01,0.01,0.01,0.01,26,0.01,0.01,23,0.01,0.01,30,44
1.59,0.01,14,0.01,0.01,12,23,0.01,14,0.01,13,0.01,0.01,0.01,0.01,25,0.01,0.01,23,0.01,0.01,0.01,100
2.49,0.01,31,0.01,0.01,0.01,0.01,9,19,0.01,22,0.01,0.01,0.01,0.01,55,14,0.01,32,9,8,8,60
2,21,8,0.01,11,54,0.01,20,21,0.01,0.01,0.01,0.01,8,0.01,59,0.01,0.01,30,0.01,12,0.01,81
0.16,23,0.01,10,0.01,31,12,17,8,0.01,12,8,9,7,0.01,67,0.01,0.01,31,0.01,20,0.01,89
0.001,29,20,7,11,81,21,23,8,0.01,24,0.01,0.01,8,0.01,67,18,0.01,14,0.01,0.01,0.01,59
4.3,0.01,14,0.01,0.01,46,0.01,19,7,0.01,0.01,0.01,0.01,8,0.01,42,24,14,33,0.01,0.01,10,46
12,11,20,8,0.01,43,0.01,32,15,8,8,0.01,0.01,20,0.01,20,0.01,0.01,30,0.01,13,11,56
19.5,17,9,16,14,36,0.01,17,0.01,0.01,24,0.01,0.01,0.01,0.01,31,11,0.01,32,0.01,8,9,58
17,19,11,33,0.01,76,0.01,34,20,14,26,0.01,0.01,0.01,0.01,48,17,33,28,6,9,0.01,54
1.7,38,37,36,0.01,100,0.01,62,12,0.01,16,11,0.01,0.01,0.01,29,0.01,12,35,0.01,0.01,0.01,61
5,19,29,37,0.01,97,0.01,13,8,0.01,9,0.01,0.01,13,12,22,0.01,0.01,42,0.01,13,0.01,49
48.94,24,23,10,0.01,50,0.01,25,24,0.01,8,0.01,0.01,0.01,9,14,10,0.01,9,0.01,13,6,47
84,39,19,59,0.01,64,0.01,28,10,0.01,22,0.01,0.01,6,0.01,36,0.01,9,25,0.01,0.01,0.01,47
67.18,23,20,35,13,60,7,16,10,0.01,0.01,0.01,0.01,9,0.01,15,0.01,7,32,0.01,0.01,0.01,17
53,18,13,0.01,7,50,0.01,12,13,0.01,42,0.01,0.01,0.01,0.01,29,0.01,12,7,6,0.01,0.01,39
93.23,44,23,12,0.01,40,8,19,0.01,0.01,26,0.01,0.01,0.01,0.01,14,0.01,0.01,31,21,8,0.01,65
131,0.01,0.01,0.01,0.01,0.01,0.01,14,9,15,7,8,0.01,0.01,0.01,11,7,0.01,13,6,0.01,0.01,25
106.04,7,31,21,10,27,0.01,0.01,12,0.01,34,17,0.01,0.01,0.01,39,0.01,0.01,9,0.01,6,0.01,42
53,0.01,0.01,0.01,10,28,0.01,18,0.01,14,62,0.01,0.01,0.01,13,10,0.01,0.01,17,0.01,5,0.01,51
18.84,11,10,0.01,8,25,0.01,0.01,0.01,0.01,6,0.01,0.01,0.01,0.01,12,0.01,14,24,0.01,0.01,0.01,78
4.87,7,0.01,9,0.01,15,0.01,0.01,0.01,0.01,7,0.01,0.01,0.01,15,0.01,0.01,0.01,16,0.01,9,0.01,75
1,0.01,28,0.01,0.01,24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,13,9,0.01,0.01,27,0.01,8,0.01,69
