"st1_date","st1_term1","st1_hit1","st1_term2","st1_hit2","st1_term3","st1_hit3","st1_term4","st1_hit4","st1_term5","st1_hit5","st2_term1","st2_hit1","st2_term2","st2_hit2","st2_term3","st2_hit3","st2_term4","st2_hit4","st3_term2","st3_hit2","st3_term3","st3_hit3","st3_term4","st3_hit4","st4_term1","st4_hit1","st4_term2","st4_hit2","st4_term3","st4_hit3","st4_term4","st4_hit4","st5_term1","st5_hit1","st5_term2","st5_hit2","st5_term3","st5_hit3","st5_term4","st5_hit4","st6_term1","st6_hit1","st6_term2","st6_hit2","st6_term3","st6_hit3","st6_term4","st6_hit4","st7_term1","st7_hit1","st7_term2","st7_hit2","st7_term3","st7_hit3","st8_term1","st8_hit1","st8_term2","st8_hit2","st8_term3","st8_hit3","st8_term4","st8_hit4"
2016-03-27,"aedes",21,"aedes aegypti",21,"aegypti",0,"vomit",0,"mosquito",55,"dengue virus",11,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",29,"mosquitoes",0,"fever",8,"new dengue virus",0,"DENV",0,"DHF",0,"disease",7,"pain",20,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",28,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",28,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",37
2016-04-03,"aedes",37,"aedes aegypti",22,"aegypti",25,"vomit",0,"mosquito",55,"dengue virus",11,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",39,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",14,"pain",26,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",12,"zancudo",9,"nuevo virus del dengue",0,"erupción",13,"dolor de cabeza",27,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",26
2016-04-10,"aedes",13,"aedes aegypti",15,"aegypti",0,"vomit",0,"mosquito",51,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",10,"mosquitoes",0,"fever",19,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",16,"rash",0,"headache",0,"nausea",8,"virus del dengue",5,"síntomas del dengue",0,"mosquitos",25,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",38,"náuseas",0,"vomitar",8,"vómitos",20,"fiebre",47
2016-04-17,"aedes",17,"aedes aegypti",13,"aegypti",22,"vomit",0,"mosquito",56,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",12,"mosquitoes",0,"fever",13,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",14,"rash",0,"headache",9,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",11,"zancudo",9,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",30,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",60
2016-04-24,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",22,"mosquito",24,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",9,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",7,"pain",0,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",9,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",30,"náuseas",8,"vomitar",6,"vómitos",0,"fiebre",22
2016-05-01,"aedes",16,"aedes aegypti",15,"aegypti",15,"vomit",0,"mosquito",31,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",9,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",7,"rash",21,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",24,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",7,"náuseas",9,"vomitar",7,"vómitos",0,"fiebre",33
2016-05-08,"aedes",7,"aedes aegypti",0,"aegypti",8,"vomit",0,"mosquito",30,"dengue virus",28,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",9,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",47,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",12,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",18,"náuseas",6,"vomitar",0,"vómitos",0,"fiebre",38
2016-05-15,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",13,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",7,"new dengue virus",0,"DENV",0,"DHF",0,"disease",8,"pain",7,"rash",0,"headache",0,"nausea",0,"virus del dengue",8,"síntomas del dengue",0,"mosquitos",0,"zancudo",8,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",29,"náuseas",7,"vomitar",0,"vómitos",0,"fiebre",73
2016-05-22,"aedes",0,"aedes aegypti",13,"aegypti",10,"vomit",15,"mosquito",18,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",6,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",9,"pain",0,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",6,"nuevo virus del dengue",0,"erupción",29,"dolor de cabeza",6,"náuseas",0,"vomitar",26,"vómitos",0,"fiebre",74
2016-05-29,"aedes",20,"aedes aegypti",0,"aegypti",12,"vomit",0,"mosquito",14,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",12,"new dengue virus",0,"DENV",0,"DHF",0,"disease",11,"pain",21,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",16,"zancudo",8,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",21,"náuseas",5,"vomitar",7,"vómitos",0,"fiebre",62
2016-06-05,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",7,"mosquito",10,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",8,"mosquitoes",0,"fever",9,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",12,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",21,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",35,"náuseas",0,"vomitar",11,"vómitos",5,"fiebre",76
2016-06-12,"aedes",0,"aedes aegypti",0,"aegypti",9,"vomit",0,"mosquito",15,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",11,"mosquitoes",0,"fever",8,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",51,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",8,"dolor de cabeza",31,"náuseas",0,"vomitar",13,"vómitos",0,"fiebre",41
2016-06-19,"aedes",0,"aedes aegypti",0,"aegypti",9,"vomit",0,"mosquito",9,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",19,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",16,"rash",0,"headache",0,"nausea",7,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",11,"nuevo virus del dengue",0,"erupción",7,"dolor de cabeza",24,"náuseas",0,"vomitar",7,"vómitos",0,"fiebre",45
2016-06-26,"aedes",9,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",7,"dengue virus",9,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",7,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",20,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",26,"náuseas",0,"vomitar",9,"vómitos",0,"fiebre",54
2016-07-03,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",8,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",17,"new dengue virus",0,"DENV",0,"DHF",0,"disease",8,"pain",16,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",7,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",23,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",41
2016-07-10,"aedes",11,"aedes aegypti",0,"aegypti",23,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",16,"rash",0,"headache",0,"nausea",0,"virus del dengue",8,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",48,"náuseas",10,"vomitar",0,"vómitos",0,"fiebre",49
2016-07-17,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",10,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",8,"mosquitoes",0,"fever",7,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",6,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",0,"náuseas",0,"vomitar",5,"vómitos",6,"fiebre",40
2016-07-24,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",11,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",26,"rash",25,"headache",0,"nausea",9,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",9,"náuseas",0,"vomitar",34,"vómitos",0,"fiebre",46
2016-07-31,"aedes",0,"aedes aegypti",0,"aegypti",9,"vomit",24,"mosquito",14,"dengue virus",10,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",20,"new dengue virus",0,"DENV",0,"DHF",0,"disease",6,"pain",24,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",26,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",31
2016-08-07,"aedes",7,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",13,"dengue virus",13,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",6,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",0,"rash",0,"headache",0,"nausea",0,"virus del dengue",9,"síntomas del dengue",11,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",8,"dolor de cabeza",34,"náuseas",0,"vomitar",8,"vómitos",0,"fiebre",30
2016-08-14,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",8,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",19,"rash",0,"headache",0,"nausea",8,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",13,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",28,"náuseas",0,"vomitar",11,"vómitos",0,"fiebre",61
2016-08-21,"aedes",0,"aedes aegypti",26,"aegypti",0,"vomit",15,"mosquito",10,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",6,"new dengue virus",0,"DENV",0,"DHF",0,"disease",6,"pain",13,"rash",0,"headache",0,"nausea",0,"virus del dengue",12,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",22,"náuseas",10,"vomitar",0,"vómitos",0,"fiebre",34
2016-08-28,"aedes",10,"aedes aegypti",0,"aegypti",0,"vomit",13,"mosquito",7,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",6,"mosquitoes",0,"fever",12,"new dengue virus",0,"DENV",0,"DHF",0,"disease",11,"pain",8,"rash",0,"headache",11,"nausea",10,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",11,"zancudo",6,"nuevo virus del dengue",0,"erupción",16,"dolor de cabeza",16,"náuseas",0,"vomitar",10,"vómitos",0,"fiebre",24
2016-09-04,"aedes",0,"aedes aegypti",7,"aegypti",0,"vomit",0,"mosquito",16,"dengue virus",7,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",11,"mosquitoes",0,"fever",10,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",26,"rash",8,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",49,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",51
2016-09-11,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",17,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",33,"pain",45,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",6,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",26,"náuseas",5,"vomitar",10,"vómitos",0,"fiebre",60
2016-09-18,"aedes",0,"aedes aegypti",0,"aegypti",13,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",13,"rash",0,"headache",0,"nausea",0,"virus del dengue",7,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",29,"náuseas",0,"vomitar",9,"vómitos",0,"fiebre",38
2016-09-25,"aedes",13,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",16,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",13,"rash",22,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",7,"mosquitos",26,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",45,"náuseas",0,"vomitar",5,"vómitos",13,"fiebre",52
